2025-01-29 18:24:31,297 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor#0' of type [org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:24:55,715 -  - WARN [net.shibboleth.idp.admin.impl.LogImplementationDetails:105] - Duplicate properties were detected: idp.authn.LDAP.bindDNCredential,
2025-01-29 18:56:54,418 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor#0' of type [org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:56:54,420 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor#0' of type [net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:56:54,421 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:56:54,422 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:56:54,423 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor#0' of type [net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:56:56,589 -  - WARN [net.shibboleth.idp.admin.impl.LogImplementationDetails:105] - Duplicate properties were detected: idp.authn.LDAP.bindDNCredential,
2025-01-29 18:57:22,913 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor#0' of type [org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:57:22,914 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor#0' of type [net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:57:22,915 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:57:22,916 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:57:22,918 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor#0' of type [net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 18:57:25,099 -  - WARN [net.shibboleth.idp.admin.impl.LogImplementationDetails:105] - Duplicate properties were detected: idp.authn.LDAP.bindDNCredential,
2025-01-29 19:02:35,548 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor#0' of type [org.opensaml.saml.metadata.resolver.filter.impl.EntitiesDescriptorNameProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 19:02:35,550 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor#0' of type [net.shibboleth.idp.saml.security.impl.KeyAuthorityNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 19:02:35,551 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.ScopesNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 19:02:35,552 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor#0' of type [net.shibboleth.idp.saml.metadata.impl.UIInfoNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 19:02:35,554 -  - WARN [org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:437] - Bean 'net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor#0' of type [net.shibboleth.idp.saml.attribute.impl.AttributeMappingNodeProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [net.shibboleth.spring.metadata.NodeProcessingAttachingBeanPostProcessor#0]? Check the corresponding BeanPostProcessor declaration and its dependencies.
2025-01-29 19:02:37,674 -  - WARN [net.shibboleth.idp.admin.impl.LogImplementationDetails:105] - Duplicate properties were detected: idp.authn.LDAP.bindDNCredential,
